Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,CALVERT,140,160
2020/08,CALVERT,142,160
2020/09,CALVERT,148,165
2020/10,CALVERT,157,166
2020/11,CALVERT,162,170
2020/12,CALVERT,162,173
2021/01,CALVERT,164,176
2021/02,CALVERT,166,182
2021/03,CALVERT,174,182
2021/04,CALVERT,189,185
2021/05,CALVERT,192,200
2021/06,CALVERT,199,214
2021/07,CALVERT,210,223
2021/08,CALVERT,217,231
2021/09,CALVERT,221,237
2021/10,CALVERT,229,247
2021/11,CALVERT,237,253
2021/12,CALVERT,242,257
2022/01,CALVERT,251,259
2022/02,CALVERT,253,250
2022/03,CALVERT,268,249
2022/04,CALVERT,273,252
2022/05,CALVERT,285,260
2022/06,CALVERT,307,266
2022/07,CALVERT,325,272
2022/08,CALVERT,341,273
2022/09,CALVERT,352,283
2022/10,CALVERT,354,287
2022/11,CALVERT,393,293
2022/12,CALVERT,406,296
2023/01,CALVERT,419,295
2023/02,CALVERT,447,304
2023/03,CALVERT,460,312
2023/04,CALVERT,469,321
2023/05,CALVERT,473,328
2023/06,CALVERT,495,331
2023/07,CALVERT,514,328
2023/08,CALVERT,533,337
2023/09,CALVERT,548,342
2023/10,CALVERT,576,344
2023/11,CALVERT,599,349
2023/12,CALVERT,631,352
2024/01,CALVERT,647,360
2024/02,CALVERT,662,359
2024/03,CALVERT,682,377
2024/04,CALVERT,704,391
