Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,DORCHESTER,24,26
2020/08,DORCHESTER,24,25
2020/09,DORCHESTER,24,26
2020/10,DORCHESTER,23,24
2020/11,DORCHESTER,24,23
2020/12,DORCHESTER,24,25
2021/01,DORCHESTER,24,24
2021/02,DORCHESTER,25,26
2021/03,DORCHESTER,25,27
2021/04,DORCHESTER,24,26
2021/05,DORCHESTER,28,27
2021/06,DORCHESTER,29,26
2021/07,DORCHESTER,29,28
2021/08,DORCHESTER,30,28
2021/09,DORCHESTER,32,30
2021/10,DORCHESTER,31,32
2021/11,DORCHESTER,31,33
2021/12,DORCHESTER,32,32
2022/01,DORCHESTER,34,33
2022/02,DORCHESTER,37,36
2022/03,DORCHESTER,37,37
2022/04,DORCHESTER,37,36
2022/05,DORCHESTER,40,36
2022/06,DORCHESTER,43,36
2022/07,DORCHESTER,45,37
2022/08,DORCHESTER,47,38
2022/09,DORCHESTER,50,38
2022/10,DORCHESTER,52,36
2022/11,DORCHESTER,56,39
2022/12,DORCHESTER,58,39
2023/01,DORCHESTER,59,39
2023/02,DORCHESTER,61,40
2023/03,DORCHESTER,61,41
2023/04,DORCHESTER,63,44
2023/05,DORCHESTER,67,51
2023/06,DORCHESTER,72,53
2023/07,DORCHESTER,72,52
2023/08,DORCHESTER,75,53
2023/09,DORCHESTER,74,56
2023/10,DORCHESTER,77,59
2023/11,DORCHESTER,79,62
2023/12,DORCHESTER,83,63
2024/01,DORCHESTER,83,62
2024/02,DORCHESTER,88,62
2024/03,DORCHESTER,89,67
2024/04,DORCHESTER,94,70
