Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,MONTGOMERY,5791,3583
2020/08,MONTGOMERY,5944,3608
2020/09,MONTGOMERY,6040,3664
2020/10,MONTGOMERY,6259,3702
2020/11,MONTGOMERY,6364,3768
2020/12,MONTGOMERY,6527,3813
2021/01,MONTGOMERY,6694,3861
2021/02,MONTGOMERY,6761,3880
2021/03,MONTGOMERY,6930,3949
2021/04,MONTGOMERY,7153,4026
2021/05,MONTGOMERY,7310,4153
2021/06,MONTGOMERY,7705,4324
2021/07,MONTGOMERY,7963,4460
2021/08,MONTGOMERY,8140,4623
2021/09,MONTGOMERY,8344,4763
2021/10,MONTGOMERY,8580,4892
2021/11,MONTGOMERY,8765,4984
2021/12,MONTGOMERY,8971,5077
2022/01,MONTGOMERY,9239,5163
2022/02,MONTGOMERY,9551,5233
2022/03,MONTGOMERY,9932,5338
2022/04,MONTGOMERY,10308,5442
2022/05,MONTGOMERY,10563,5553
2022/06,MONTGOMERY,11119,5753
2022/07,MONTGOMERY,11237,5835
2022/08,MONTGOMERY,11603,5946
2022/09,MONTGOMERY,12094,6033
2022/10,MONTGOMERY,12429,6142
2022/11,MONTGOMERY,13033,6305
2022/12,MONTGOMERY,13591,6445
2023/01,MONTGOMERY,13992,6544
2023/02,MONTGOMERY,14482,6637
2023/03,MONTGOMERY,15079,6763
2023/04,MONTGOMERY,15560,6876
2023/05,MONTGOMERY,16125,6997
2023/06,MONTGOMERY,16873,7122
2023/07,MONTGOMERY,17453,7229
2023/08,MONTGOMERY,18096,7541
2023/09,MONTGOMERY,18780,7738
2023/10,MONTGOMERY,19448,8112
2023/11,MONTGOMERY,19980,8308
2023/12,MONTGOMERY,20834,8590
2024/01,MONTGOMERY,21304,8872
2024/02,MONTGOMERY,21759,9037
2024/03,MONTGOMERY,22438,9194
2024/04,MONTGOMERY,23026,9321
