Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,TALBOT,68,85
2020/08,TALBOT,71,87
2020/09,TALBOT,73,88
2020/10,TALBOT,80,87
2020/11,TALBOT,85,87
2020/12,TALBOT,88,86
2021/01,TALBOT,95,92
2021/02,TALBOT,96,94
2021/03,TALBOT,99,97
2021/04,TALBOT,101,103
2021/05,TALBOT,107,104
2021/06,TALBOT,108,109
2021/07,TALBOT,113,110
2021/08,TALBOT,118,114
2021/09,TALBOT,124,113
2021/10,TALBOT,125,115
2021/11,TALBOT,131,116
2021/12,TALBOT,132,115
2022/01,TALBOT,138,116
2022/02,TALBOT,145,115
2022/03,TALBOT,154,113
2022/04,TALBOT,160,118
2022/05,TALBOT,168,121
2022/06,TALBOT,183,119
2022/07,TALBOT,189,121
2022/08,TALBOT,191,124
2022/09,TALBOT,202,129
2022/10,TALBOT,203,132
2022/11,TALBOT,218,138
2022/12,TALBOT,225,141
2023/01,TALBOT,227,138
2023/02,TALBOT,232,143
2023/03,TALBOT,238,151
2023/04,TALBOT,243,150
2023/05,TALBOT,250,149
2023/06,TALBOT,263,152
2023/07,TALBOT,275,153
2023/08,TALBOT,280,167
2023/09,TALBOT,284,173
2023/10,TALBOT,285,172
2023/11,TALBOT,293,173
2023/12,TALBOT,307,185
2024/01,TALBOT,314,185
2024/02,TALBOT,317,194
2024/03,TALBOT,321,199
2024/04,TALBOT,328,199
