TEAM 2019,Yards Gained,Takeaways,Giveaways,Yards Allowed,Points Scored,Wins
Arizona,5467,17,18,6432,361,5
Atlanta,6075,20,25,5693,381,7
Baltimore,6521,25,15,4809,531,14
Buffalo,5283,23,19,4772,314,10
Carolina,5469,21,35,5992,340,5
Chicago,4749,19,19,5186,280,8
Cincinnati,5169,16,30,6299,279,2
Cleveland,5455,20,28,5785,335,6
Dallas,6904,17,18,5232,434,8
Denver,4777,17,16,5392,282,7
Detroit,5549,18,23,6406,341,3
Green Bay,5528,25,13,5642,376,13
Houston,5792,22,22,6213,378,10
Indianapolis,5238,23,21,5549,361,7
Jacksonville,5468,19,20,6007,300,6
Kansas City,6067,23,15,5594,451,12
LA Chargers,5879,14,31,5009,337,5
LA Rams,5998,24,24,5434,394,9
Miami,4960,16,26,6364,306,5
Minnesota,5656,31,20,5465,407,10
New England,5664,36,15,4414,420,12
New Orleans,5982,23,8,5329,458,13
NY Giants,5416,16,33,6037,341,4
NY Jets,4368,21,25,5170,276,7
Oakland,5819,15,17,5677,313,7
Philadelphia,5772,20,23,5307,385,9
Pittsburgh,4428,38,30,4866,289,8
San Francisco,6097,27,23,4509,479,13
Seattle,5991,32,20,6106,405,11
Tampa Bay,6366,28,41,5503,458,7
Tennessee,5805,23,17,5752,402,9
Washington,4395,22,21,6162,266,3
