TEAM 2022,Yards Gained,Takeaways,Giveaways,Points Scored,Yards Allowed,Wins
Arizona Cardinals,5499,20,25,340,5931,4
Atlanta Falcons,5417,17,21,365,6156,7
Baltimore Ravens,5760,25,21,350,5513,10
Buffalo Bills,6361,27,27,455,5106,13
Carolina Panthers,5206,17,21,347,5953,7
Chicago Bears,5233,23,25,326,6390,3
Cincinnati Bengals,5768,24,18,418,5371,12
Cleveland Browns,5934,20,21,361,5631,7
Dallas Cowboys,6034,33,23,467,5613,12
Denver Broncos,5527,23,24,287,5440,5
Detroit Lions,6460,22,15,453,6670,9
Green Bay Packers,5745,24,22,370,5721,8
Houston Texans,4820,27,28,289,6452,3
Indianapolis Colts,5298,21,34,289,5678,4
Jacksonville Jaguars,6075,27,22,404,6006,9
Kansas City Chiefs,7032,20,23,496,5579,14
Las Vegas Raiders,5993,13,21,395,6216,6
Los Angeles Chargers,6108,24,19,391,5884,10
Los Angeles Rams,4769,22,23,307,5798,5
Miami Dolphins,6197,14,21,397,5743,9
Minnesota Vikings,6145,25,23,424,6608,13
New England Patriots,5348,30,23,364,5474,8
New Orleans Saints,5674,14,25,330,5352,7
New York Giants+,5676,19,16,365,6089,9
New York Jets,5409,16,23,296,5288,7
Philadelphia Eagles,6614,27,19,477,5125,14
Pittsburgh Steelers,5484,23,19,308,5617,9
San Francisco 49ers,6216,30,17,450,5110,13
Seattle Seahawks,5976,25,23,407,6149,9
Tampa Bay Buccaneers,5894,20,22,313,5513,8
Tennessee Titans,5045,20,23,298,5978,7
Washington Commanders,5615,18,23,321,5178,8
