Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,SAINT MARYS,144,174
2020/08,SAINT MARYS,152,175
2020/09,SAINT MARYS,154,174
2020/10,SAINT MARYS,159,174
2020/11,SAINT MARYS,161,180
2020/12,SAINT MARYS,166,186
2021/01,SAINT MARYS,169,193
2021/02,SAINT MARYS,176,195
2021/03,SAINT MARYS,184,201
2021/04,SAINT MARYS,196,209
2021/05,SAINT MARYS,207,215
2021/06,SAINT MARYS,210,218
2021/07,SAINT MARYS,226,232
2021/08,SAINT MARYS,230,241
2021/09,SAINT MARYS,245,245
2021/10,SAINT MARYS,251,253
2021/11,SAINT MARYS,254,257
2021/12,SAINT MARYS,260,260
2022/01,SAINT MARYS,270,265
2022/02,SAINT MARYS,288,257
2022/03,SAINT MARYS,299,262
2022/04,SAINT MARYS,320,264
2022/05,SAINT MARYS,335,267
2022/06,SAINT MARYS,350,273
2022/07,SAINT MARYS,362,276
2022/08,SAINT MARYS,373,283
2022/09,SAINT MARYS,379,287
2022/10,SAINT MARYS,388,296
2022/11,SAINT MARYS,411,307
2022/12,SAINT MARYS,422,306
2023/01,SAINT MARYS,426,310
2023/02,SAINT MARYS,436,311
2023/03,SAINT MARYS,446,314
2023/04,SAINT MARYS,463,315
2023/05,SAINT MARYS,480,323
2023/06,SAINT MARYS,498,327
2023/07,SAINT MARYS,519,337
2023/08,SAINT MARYS,535,344
2023/09,SAINT MARYS,551,351
2023/10,SAINT MARYS,575,352
2023/11,SAINT MARYS,586,357
2023/12,SAINT MARYS,605,357
2024/01,SAINT MARYS,624,359
2024/02,SAINT MARYS,640,368
2024/03,SAINT MARYS,664,375
2024/04,SAINT MARYS,682,380
