Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,WORCESTER,46,62
2020/08,WORCESTER,47,63
2020/09,WORCESTER,46,64
2020/10,WORCESTER,49,68
2020/11,WORCESTER,51,70
2020/12,WORCESTER,54,73
2021/01,WORCESTER,55,73
2021/02,WORCESTER,58,76
2021/03,WORCESTER,58,78
2021/04,WORCESTER,56,82
2021/05,WORCESTER,60,82
2021/06,WORCESTER,61,83
2021/07,WORCESTER,66,84
2021/08,WORCESTER,68,85
2021/09,WORCESTER,72,81
2021/10,WORCESTER,77,84
2021/11,WORCESTER,77,87
2021/12,WORCESTER,76,86
2022/01,WORCESTER,83,88
2022/02,WORCESTER,87,86
2022/03,WORCESTER,96,88
2022/04,WORCESTER,99,90
2022/05,WORCESTER,109,95
2022/06,WORCESTER,114,98
2022/07,WORCESTER,118,102
2022/08,WORCESTER,125,106
2022/09,WORCESTER,133,113
2022/10,WORCESTER,135,115
2022/11,WORCESTER,145,119
2022/12,WORCESTER,159,124
2023/01,WORCESTER,170,123
2023/02,WORCESTER,175,126
2023/03,WORCESTER,189,130
2023/04,WORCESTER,197,132
2023/05,WORCESTER,203,131
2023/06,WORCESTER,227,138
2023/07,WORCESTER,235,138
2023/08,WORCESTER,241,142
2023/09,WORCESTER,256,146
2023/10,WORCESTER,268,149
2023/11,WORCESTER,273,153
2023/12,WORCESTER,282,161
2024/01,WORCESTER,290,168
2024/02,WORCESTER,297,167
2024/03,WORCESTER,314,171
2024/04,WORCESTER,316,181
